layer_idx,layer_type,series,x,y,axis
0,Line Graph,Drive current (A),0.0,0.4164350908873091,left
0,Line Graph,Drive current (A),0.43478260869565216,0.4388456987930366,left
0,Line Graph,Drive current (A),0.8695652173913043,0.4644990769683147,left
0,Line Graph,Drive current (A),1.3043478260869565,0.5053322739049787,left
0,Line Graph,Drive current (A),1.7391304347826086,0.5174672673368333,left
0,Line Graph,Drive current (A),2.1739130434782608,0.5593064332869536,left
0,Line Graph,Drive current (A),2.608695652173913,0.5539911398676697,left
0,Line Graph,Drive current (A),3.043478260869565,0.5822643197301743,left
0,Line Graph,Drive current (A),3.4782608695652173,0.5891396317506818,left
0,Line Graph,Drive current (A),3.9130434782608696,0.636330749085443,left
0,Line Graph,Drive current (A),4.3478260869565215,0.6944169026561509,left
0,Line Graph,Drive current (A),4.782608695652174,0.6923231465185391,left
0,Line Graph,Drive current (A),5.217391304347826,0.7271674773422933,left
0,Line Graph,Drive current (A),5.6521739130434785,0.7112572360926144,left
0,Line Graph,Drive current (A),6.08695652173913,0.7601160480969381,left
0,Line Graph,Drive current (A),6.521739130434782,0.7907202725631703,left
0,Line Graph,Drive current (A),6.956521739130435,0.8410069080396962,left
0,Line Graph,Drive current (A),7.391304347826087,0.8417724364430677,left
0,Line Graph,Drive current (A),7.826086956521739,0.862614057302766,left
0,Line Graph,Drive current (A),8.26086956521739,0.8994216071570346,left
0,Line Graph,Drive current (A),8.695652173913043,0.9458350526144474,left
0,Line Graph,Drive current (A),9.130434782608695,0.9332096081190031,left
0,Line Graph,Drive current (A),9.565217391304348,0.9633483003279316,left
0,Line Graph,Drive current (A),10.0,1.0070834280641712,left
0,Line Graph,Cell voltage (V),0.0,12.17431568942877,right
0,Line Graph,Cell voltage (V),0.43478260869565216,11.832280295736181,right
0,Line Graph,Cell voltage (V),0.8695652173913043,11.379464994391485,right
0,Line Graph,Cell voltage (V),1.3043478260869565,11.50708007188576,right
0,Line Graph,Cell voltage (V),1.7391304347826086,11.518779981340387,right
0,Line Graph,Cell voltage (V),2.1739130434782608,11.123598394443913,right
0,Line Graph,Cell voltage (V),2.608695652173913,10.863164039132585,right
0,Line Graph,Cell voltage (V),3.043478260869565,10.864089250761731,right
0,Line Graph,Cell voltage (V),3.4782608695652173,10.783054231069634,right
0,Line Graph,Cell voltage (V),3.9130434782608696,10.252386321288764,right
0,Line Graph,Cell voltage (V),4.3478260869565215,10.13196578903413,right
0,Line Graph,Cell voltage (V),4.782608695652174,10.3692860249486,right
0,Line Graph,Cell voltage (V),5.217391304347826,10.081880262617757,right
0,Line Graph,Cell voltage (V),5.6521739130434785,9.839788448167146,right
0,Line Graph,Cell voltage (V),6.08695652173913,9.308536214213888,right
0,Line Graph,Cell voltage (V),6.521739130434782,9.457642639574514,right
0,Line Graph,Cell voltage (V),6.956521739130435,9.104072337549141,right
0,Line Graph,Cell voltage (V),7.391304347826087,9.3093964217082,right
0,Line Graph,Cell voltage (V),7.826086956521739,8.776799521478951,right
0,Line Graph,Cell voltage (V),8.26086956521739,8.910984152090537,right
0,Line Graph,Cell voltage (V),8.695652173913043,8.44454828608829,right
0,Line Graph,Cell voltage (V),9.130434782608695,8.321946363201901,right
0,Line Graph,Cell voltage (V),9.565217391304348,8.20149591892192,right
0,Line Graph,Cell voltage (V),10.0,8.094616907956738,right
