layer_idx,layer_type,series,x,y,marker_type,color,error_x_plus,error_x_minus,error_y_plus,error_y_minus
0,Scatter Plot,24 °C,8.773,0.955903,circle,#0000FF,,,,
0,Scatter Plot,24 °C,9.801,0.956709,circle,#0000FF,,,,
0,Scatter Plot,24 °C,10.773,0.958563,circle,#0000FF,,,,
0,Scatter Plot,24 °C,11.716,0.962049,circle,#0000FF,,,,
0,Scatter Plot,24 °C,12.744,0.963271,circle,#0000FF,,,,
0,Scatter Plot,24 °C,13.773,0.964903,circle,#0000FF,,,,
0,Scatter Plot,24 °C,14.777,0.967,circle,#0000FF,,,,
0,Scatter Plot,24 °C,15.839,0.967466,circle,#0000FF,,,,
0,Scatter Plot,24 °C,16.816,0.967931,circle,#0000FF,,,,
0,Scatter Plot,24 °C,17.764,0.967863,circle,#0000FF,,,,
0,Scatter Plot,24 °C,25.744,0.96962,circle,#0000FF,,,,
0,Scatter Plot,24 °C,27.744,0.970751,circle,#0000FF,,,,
0,Scatter Plot,24 °C,29.744,0.972223,circle,#0000FF,,,,
0,Scatter Plot,24 °C,31.801,0.972577,circle,#0000FF,,,,
0,Scatter Plot,24 °C,33.773,0.972786,circle,#0000FF,,,,
0,Scatter Plot,24 °C,36.739,0.973028,circle,#0000FF,,,,
0,Scatter Plot,27 °C,14.365,0.969806,square,#FF0000,,,,
0,Scatter Plot,27 °C,15.369,0.97066,square,#FF0000,,,,
0,Scatter Plot,27 °C,16.346,0.97166,square,#FF0000,,,,
0,Scatter Plot,27 °C,17.346,0.97166,square,#FF0000,,,,
0,Scatter Plot,27 °C,18.346,0.972306,square,#FF0000,,,,
0,Scatter Plot,27 °C,19.403,0.97216,square,#FF0000,,,,
0,Scatter Plot,27 °C,20.346,0.97216,square,#FF0000,,,,
0,Scatter Plot,27 °C,21.346,0.972354,square,#FF0000,,,,
0,Scatter Plot,27 °C,22.375,0.972549,square,#FF0000,,,,
0,Scatter Plot,27 °C,23.346,0.972549,square,#FF0000,,,,
0,Scatter Plot,27 °C,24.346,0.972549,square,#FF0000,,,,
0,Scatter Plot,27 °C,25.346,0.9725,square,#FF0000,,,,
0,Scatter Plot,27 °C,26.403,0.972951,square,#FF0000,,,,
0,Scatter Plot,27 °C,27.403,0.973243,square,#FF0000,,,,
0,Scatter Plot,27 °C,28.403,0.973291,square,#FF0000,,,,
0,Scatter Plot,27 °C,29.346,0.973486,square,#FF0000,,,,
0,Scatter Plot,27 °C,30.346,0.973729,square,#FF0000,,,,
0,Scatter Plot,27 °C,31.318,0.97368,square,#FF0000,,,,
0,Scatter Plot,27 °C,32.403,0.973825,square,#FF0000,,,,
0,Scatter Plot,27 °C,33.347,0.973875,square,#FF0000,,,,
0,Scatter Plot,27 °C,34.346,0.973972,square,#FF0000,,,,
0,Scatter Plot,27 °C,35.318,0.973923,square,#FF0000,,,,
0,Scatter Plot,27 °C,36.346,0.973923,square,#FF0000,,,,
0,Scatter Plot,30 °C,18.915,0.964194,diamond,#008000,,,,
0,Scatter Plot,30 °C,20.915,0.964709,diamond,#008000,,,,
0,Scatter Plot,30 °C,22.858,0.965563,diamond,#008000,,,,
0,Scatter Plot,30 °C,24.858,0.967729,diamond,#008000,,,,
0,Scatter Plot,30 °C,27.882,0.969797,diamond,#008000,,,,
0,Scatter Plot,30 °C,28.915,0.971575,diamond,#008000,,,,
0,Scatter Plot,30 °C,34.838,0.974323,diamond,#008000,,,,
0,Scatter Plot,30 °C,35.9,0.974303,diamond,#008000,,,,
0,Scatter Plot,30 °C,36.876,0.974429,diamond,#008000,,,,
0,Scatter Plot,30 °C,37.853,0.974443,diamond,#008000,,,,
0,Scatter Plot,30 °C,38.868,0.97452,diamond,#008000,,,,
0,Scatter Plot,27 °C,37.359,0.974048,square,#FF0000,,,,
0,Scatter Plot,27 °C,38.353,0.974096,square,#FF0000,,,,
0,Scatter Plot,24 °C,18.778,0.968286,circle,#0000FF,,,,
0,Scatter Plot,24 °C,19.773,0.968578,circle,#0000FF,,,,
0,Scatter Plot,24 °C,20.796,0.968626,circle,#0000FF,,,,
0,Scatter Plot,24 °C,21.763,0.968918,circle,#0000FF,,,,
0,Scatter Plot,24 °C,22.781,0.968879,circle,#0000FF,,,,
0,Scatter Plot,24 °C,23.776,0.96917,circle,#0000FF,,,,
0,Scatter Plot,24 °C,24.799,0.969365,circle,#0000FF,,,,
0,Scatter Plot,24 °C,26.766,0.97055,circle,#0000FF,,,,
0,Scatter Plot,24 °C,28.756,0.972202,circle,#0000FF,,,,
0,Scatter Plot,24 °C,30.775,0.972425,circle,#0000FF,,,,
0,Scatter Plot,24 °C,32.765,0.972668,circle,#0000FF,,,,
0,Scatter Plot,24 °C,34.766,0.972756,circle,#0000FF,,,,
0,Scatter Plot,24 °C,35.761,0.97295,circle,#0000FF,,,,
0,Scatter Plot,30 °C,33.896,0.974193,diamond,#008000,,,,
0,Scatter Plot,30 °C,32.901,0.973465,diamond,#008000,,,,
0,Scatter Plot,30 °C,31.878,0.973174,diamond,#008000,,,,
0,Scatter Plot,30 °C,30.912,0.972931,diamond,#008000,,,,
0,Scatter Plot,30 °C,26.92,0.969608,diamond,#008000,,,,
0,Scatter Plot,30 °C,25.925,0.968539,diamond,#008000,,,,
0,Scatter Plot,30 °C,23.906,0.967082,diamond,#008000,,,,
0,Scatter Plot,30 °C,21.917,0.96509,diamond,#008000,,,,
0,Scatter Plot,30 °C,19.909,0.964322,diamond,#008000,,,,
0,Scatter Plot,30 °C,29.86,0.972251,diamond,#008000,,,,
1,Spline Chart,p curve for 24°C,1.085,0.934805,none,#0000FF,,,,
1,Spline Chart,p curve for 24°C,3.856,0.94927,none,#0000FF,,,,
1,Spline Chart,p curve for 24°C,9.943,0.960173,none,#0000FF,,,,
1,Spline Chart,p curve for 24°C,15,0.964609,none,#0000FF,,,,
1,Spline Chart,p curve for 24°C,20.114,0.967702,none,#0000FF,,,,
1,Spline Chart,p curve for 24°C,25,0.970156,none,#0000FF,,,,
1,Spline Chart,p curve for 24°C,35,0.974,none,#0000FF,,,,
1,Spline Chart,p curve for 24°C,39.791,0.975211,none,#0000FF,,,,
1,Spline Chart,p curve for 24°C,44.972,0.976583,none,#0000FF,,,,
1,Spline Chart,p curve for 24°C,49.943,0.977777,none,#0000FF,,,,
1,Spline Chart,p curve for 27°C,1,0.961,none,#FF0000,,,,
1,Spline Chart,p curve for 27°C,4.972,0.967126,none,#FF0000,,,,
1,Spline Chart,p curve for 27°C,10.028,0.969709,none,#FF0000,,,,
1,Spline Chart,p curve for 27°C,15,0.971194,none,#FF0000,,,,
1,Spline Chart,p curve for 27°C,19.886,0.972194,none,#FF0000,,,,
1,Spline Chart,p curve for 27°C,25.569,0.973034,none,#FF0000,,,,
1,Spline Chart,p curve for 27°C,29.886,0.973631,none,#FF0000,,,,
1,Spline Chart,p curve for 27°C,34.659,0.974229,none,#FF0000,,,,
1,Spline Chart,p curve for 27°C,39.943,0.97468,none,#FF0000,,,,
1,Spline Chart,p curve for 27°C,44.972,0.975132,none,#FF0000,,,,
1,Spline Chart,p curve for 27°C,49.972,0.975534,none,#FF0000,,,,
1,Spline Chart,p curve for 30°C,9.431,0.951206,none,#008000,,,,
1,Spline Chart,p curve for 30°C,14.858,0.959194,none,#008000,,,,
1,Spline Chart,p curve for 30°C,20.313,0.964611,none,#008000,,,,
1,Spline Chart,p curve for 30°C,24.375,0.96764,none,#008000,,,,
1,Spline Chart,p curve for 30°C,30,0.971223,none,#008000,,,,
1,Spline Chart,p curve for 30°C,35,0.974,none,#008000,,,,
1,Spline Chart,p curve for 30°C,40,0.976194,none,#008000,,,,
1,Spline Chart,p curve for 30°C,44.943,0.97834,none,#008000,,,,
1,Spline Chart,p curve for 30°C,49.232,0.979903,none,#008000,,,,
