layer_idx,layer_type,series,x,y,marker_type,color,error_x_plus,error_x_minus,error_y_plus,error_y_minus
,Scatter Plot,24 °C,8.859,0.9817,circle,#000000,,,,
,Scatter Plot,24 °C,9.768,0.9539,circle,#000000,,,,
,Scatter Plot,24 °C,10.768,0.8783,circle,#000000,,,,
,Scatter Plot,24 °C,11.768,0.7491,circle,#000000,,,,
,Scatter Plot,24 °C,12.768,0.7017,circle,#000000,,,,
,Scatter Plot,24 °C,13.768,0.647,circle,#000000,,,,
,Scatter Plot,24 °C,14.859,0.5722,circle,#000000,,,,
,Scatter Plot,24 °C,15.859,0.5574,circle,#000000,,,,
,Scatter Plot,24 °C,16.676,0.5426,circle,#000000,,,,
,Scatter Plot,24 °C,17.768,0.5404,circle,#000000,,,,
,Scatter Plot,24 °C,18.584,0.5304,circle,#000000,,,,
,Scatter Plot,24 °C,19.584,0.5152,circle,#000000,,,,
,Scatter Plot,24 °C,20.676,0.513,circle,#000000,,,,
,Scatter Plot,24 °C,21.676,0.5004,circle,#000000,,,,
,Scatter Plot,24 °C,22.669,0.4983,circle,#000000,,,,
,Scatter Plot,24 °C,23.669,0.4839,circle,#000000,,,,
,Scatter Plot,24 °C,24.577,0.4687,circle,#000000,,,,
,Scatter Plot,24 °C,28.607,0.2954,circle,#000000,,,,
,Scatter Plot,24 °C,29.607,0.293,circle,#000000,,,,
,Scatter Plot,24 °C,30.607,0.2785,circle,#000000,,,,
,Scatter Plot,24 °C,31.607,0.2791,circle,#000000,,,,
,Scatter Plot,24 °C,32.66,0.2646,circle,#000000,,,,
,Scatter Plot,24 °C,33.607,0.25,circle,#000000,,,,
,Scatter Plot,24 °C,34.607,0.2491,circle,#000000,,,,
,Scatter Plot,24 °C,35.607,0.2206,circle,#000000,,,,
,Scatter Plot,24 °C,36.607,0.2061,circle,#000000,,,,
,Scatter Plot,27 °C,14.326,0.9833,square,#808080,,,,
,Scatter Plot,27 °C,15.326,0.9359,square,#808080,,,,
,Scatter Plot,27 °C,16.326,0.8789,square,#808080,,,,
,Scatter Plot,27 °C,17.326,0.88,square,#808080,,,,
,Scatter Plot,27 °C,18.326,0.8448,square,#808080,,,,
,Scatter Plot,27 °C,19.38,0.8439,square,#808080,,,,
,Scatter Plot,27 °C,20.326,0.843,square,#808080,,,,
,Scatter Plot,27 °C,21.326,0.8309,square,#808080,,,,
,Scatter Plot,27 °C,22.22,0.8224,square,#808080,,,,
,Scatter Plot,27 °C,26.3,0.7742,square,#808080,,,,
,Scatter Plot,27 °C,27.247,0.7403,square,#808080,,,,
,Scatter Plot,27 °C,28.3,0.74,square,#808080,,,,
,Scatter Plot,27 °C,29.291,0.7179,square,#808080,,,,
,Scatter Plot,27 °C,30.216,0.6961,square,#808080,,,,
,Scatter Plot,27 °C,31.253,0.6943,square,#808080,,,,
,Scatter Plot,27 °C,32.253,0.685,square,#808080,,,,
,Scatter Plot,27 °C,33.216,0.6707,square,#808080,,,,
,Scatter Plot,27 °C,34.253,0.6604,square,#808080,,,,
,Scatter Plot,27 °C,35.216,0.6468,square,#808080,,,,
,Scatter Plot,27 °C,36.216,0.6279,square,#808080,,,,
,Scatter Plot,27 °C,37.178,0.5907,square,#808080,,,,
,Scatter Plot,27 °C,38.253,0.5557,square,#808080,,,,
,Scatter Plot,30 °C,18.854,0.9818,diamond,#ADD8E6,,,,
,Scatter Plot,30 °C,19.8,0.9718,diamond,#ADD8E6,,,,
,Scatter Plot,30 °C,20.854,0.9315,diamond,#ADD8E6,,,,
,Scatter Plot,30 °C,22.8,0.8385,diamond,#ADD8E6,,,,
,Scatter Plot,30 °C,23.854,0.6826,diamond,#ADD8E6,,,,
,Scatter Plot,30 °C,24.854,0.6202,diamond,#ADD8E6,,,,
,Scatter Plot,30 °C,25.8,0.5478,diamond,#ADD8E6,,,,
,Scatter Plot,30 °C,26.733,0.4546,diamond,#ADD8E6,,,,
,Scatter Plot,30 °C,27.787,0.435,diamond,#ADD8E6,,,,
,Scatter Plot,30 °C,28.787,0.3,diamond,#ADD8E6,,,,
,Scatter Plot,30 °C,29.893,0.2717,diamond,#ADD8E6,,,,
,Scatter Plot,30 °C,30.84,0.2295,diamond,#ADD8E6,,,,
,Scatter Plot,30 °C,31.787,0.2178,diamond,#ADD8E6,,,,
,Scatter Plot,30 °C,32.787,0.1987,diamond,#ADD8E6,,,,
,Scatter Plot,30 °C,33.787,0.1674,diamond,#ADD8E6,,,,
,Scatter Plot,30 °C,34.787,0.1582,diamond,#ADD8E6,,,,
,Scatter Plot,30 °C,35.733,0.1589,diamond,#ADD8E6,,,,
,Scatter Plot,30 °C,36.733,0.1467,diamond,#ADD8E6,,,,
,Scatter Plot,30 °C,37.787,0.1482,diamond,#ADD8E6,,,,
,Scatter Plot,30 °C,38.787,0.1467,diamond,#ADD8E6,,,,
,Scatter Plot,30 °C,39.925,0,diamond,#ADD8E6,,,,
,Scatter Plot,24 °C,26.684,0.397,circle,#000000,,,,
,Scatter Plot,24 °C,27.644,0.3802,circle,#000000,,,,
,Scatter Plot,30 °C,21.882,0.8889,diamond,#ADD8E6,,,,
,Scatter Plot,27 °C,23.269,0.8205,square,#808080,,,,
,Scatter Plot,27 °C,24.336,0.8205,square,#808080,,,,
,Scatter Plot,27 °C,25.243,0.822,square,#808080,,,,
