series,x,y
p_curve_24C,2.027615,0.942595
p_curve_24C,2.479991,0.944341
p_curve_24C,2.932367,0.94599
p_curve_24C,3.3847430000000003,0.947639
p_curve_24C,3.8371190000000004,0.9497245
p_curve_24C,4.346042,0.9509369999999999
p_curve_24C,4.911512,0.9522465
p_curve_24C,5.4204349999999994,0.9532164999999999
p_curve_24C,5.929358000000001,0.9544775
p_curve_24C,6.438281,0.955302
p_curve_24C,7.0602979999999995,0.956369
p_curve_24C,7.569221000000001,0.957048
p_curve_24C,8.134691,0.957921
p_curve_24C,8.813255,0.9587454999999999
p_curve_24C,9.378725,0.959473
p_curve_24C,10.000742,0.9602005
p_curve_24C,10.566212,0.9607825
p_curve_24C,11.131682,0.961316
p_curve_24C,12.092981,0.9623345
p_curve_24C,12.658451,0.9627709999999999
p_curve_24C,13.337015000000001,0.9634015
p_curve_24C,13.902484999999999,0.963838
p_curve_24C,14.467955,0.9642744999999999
p_curve_24C,15.089972,0.964711
p_curve_24C,15.655442,0.9650989999999999
p_curve_24C,16.220912,0.9655355
p_curve_24C,16.956023,0.9660205
p_curve_24C,17.57804,0.9664085
p_curve_24C,18.14351,0.9667965
p_curve_24C,18.70898,0.9670875
p_curve_24C,19.387544,0.9675239999999999
p_curve_24C,19.953014,0.967815
p_curve_24C,20.575031,0.9681544999999999
p_curve_24C,21.140501,0.9684455
p_curve_24C,22.045253,0.9689304999999999
p_curve_24C,22.950005,0.966845
p_curve_24C,24.080945,0.9699004999999999
p_curve_24C,25.438073,0.9704824999999999
p_curve_24C,25.946996,0.9684455
p_curve_24C,27.134483,0.9711615
p_curve_24C,27.982688,0.9715495
p_curve_24C,28.661252,0.970725
p_curve_24C,29.679098000000003,0.9713554999999999
p_curve_24C,30.301115000000003,0.973538
p_curve_24C,31.262414,0.97412
p_curve_24C,31.771337000000003,0.9740715
p_curve_24C,32.223713,0.97412
p_curve_24C,32.732636,0.9735865
p_curve_24C,33.524294,0.973829
p_curve_24C,34.429046,0.9744109999999999
p_curve_24C,35.446892,0.9744594999999999
p_curve_24C,36.464738,0.9744109999999999
p_curve_24C,37.030208,0.974799
p_curve_24C,37.708772,0.9746535
p_curve_24C,38.443883,0.9747505
p_curve_24C,38.952806,0.9751869999999999
p_curve_24C,39.518276,0.9753324999999999
p_curve_24C,40.027199,0.9764965
p_curve_24C,40.592669,0.9750415
p_curve_24C,41.158139,0.975769
p_curve_24C,41.667062,0.9759145
p_curve_24C,42.289079,0.9760599999999999
p_curve_24C,42.798002,0.9751869999999999
p_curve_24C,43.476566,0.9763995
p_curve_24C,43.985489,0.9764965
p_curve_24C,44.494412,0.976642
p_curve_24C,45.003335,0.9767874999999999
p_curve_24C,45.512258,0.9768844999999999
p_curve_24C,46.021181,0.9769815
p_curve_24C,46.586651,0.977127
p_curve_24C,47.152121,0.9772725
p_curve_24C,47.661044,0.9773695
p_curve_24C,48.169967,0.9774665
p_curve_24C,48.67889,0.9776604999999999
p_curve_24C,49.131266,0.9757205
